index,name,lat,lon,context
10,Philadelphia,39.95233,-75.16379,[]
223,Buttonwood Street,39.68345,-75.55659,"['At', 'once', 'he', 'decided', ',', 'as', 'he', 'told', 'his', 'wife', 'joyously', ',', 'to', 'remove', 'his', 'family', 'from', '21', 'Buttonwood', 'Street', 'to', '124', 'New', 'Market', 'Street', ',', 'a', 'much', 'better', 'neighborhood', ',', 'where', 'there', 'was', 'a', 'nice', 'brick', 'house', 'of', 'three']"
645,Philadelphia,39.95233,-75.16379,"[',', 'and', 'handed', 'out', 'again', 'to', 'anxious', 'borrowers', 'at', 'a', 'profit', '.', 'His', 'bank', 'was', 'the', 'Third', 'National', 'of', 'Philadelphia', ',', 'located', 'in', 'that', 'center', 'of', 'all', 'Philadelphia', 'and', 'indeed', ',', 'at', 'that', 'time', ',', 'of', 'practically', 'all', 'national', 'finance']"
653,Philadelphia,39.95233,-75.16379,"['at', 'a', 'profit', '.', 'His', 'bank', 'was', 'the', 'Third', 'National', 'of', 'Philadelphia', ',', 'located', 'in', 'that', 'center', 'of', 'all', 'Philadelphia', 'and', 'indeed', ',', 'at', 'that', 'time', ',', 'of', 'practically', 'all', 'national', 'finance', '--', 'Third', 'Street', '--', 'and', 'its', 'owners', 'conducted']"
668,Third Street,-33.57917,151.30833,"['that', 'center', 'of', 'all', 'Philadelphia', 'and', 'indeed', ',', 'at', 'that', 'time', ',', 'of', 'practically', 'all', 'national', 'finance', '--', 'Third', 'Street', '--', 'and', 'its', 'owners', 'conducted', 'a', 'brokerage', 'business', 'as', 'a', 'side', 'line', '.', 'There', 'was', 'a', 'perfect', 'plague', 'of', 'State']"
1253,Delaware Bay,39.00039,-75.49992,"['certain', 'tank', 'in', 'front', 'of', 'one', 'store', 'where', 'were', 'kept', 'odd', 'specimens', 'of', 'sea-life', 'brought', 'in', 'by', 'the', 'Delaware', 'Bay', 'fishermen', '.', 'He', 'saw', 'once', 'there', 'a', 'sea-horse', '--', 'just', 'a', 'queer', 'little', 'sea-animal', 'that', 'looked', 'somewhat', 'like', 'a', 'horse']"
2408,Third Street,-33.57917,151.30833,"['.', 'From', 'seeing', 'his', 'father', 'count', 'money', ',', 'he', 'was', 'sure', 'that', 'he', 'would', 'like', 'banking', ';', 'and', 'Third', 'Street', ',', 'where', 'his', 'father', ""'s"", 'office', 'was', ',', 'seemed', 'to', 'him', 'the', 'cleanest', ',', 'most', 'fascinating', 'street', 'in', 'the', 'world']"
2455,Buttonwood Street,39.68345,-75.55659,"['Frank', 'Algernon', 'Cowperwood', 'was', 'through', 'years', 'of', 'what', 'might', 'be', 'called', 'a', 'comfortable', 'and', 'happy', 'family', 'existence', '.', 'Buttonwood', 'Street', ',', 'where', 'he', 'spent', 'the', 'first', 'ten', 'years', 'of', 'his', 'life', ',', 'was', 'a', 'lovely', 'place', 'for', 'a', 'boy', 'to']"
2681,New Market Street,30.03593,-90.02561,"['was', 'quite', 'an', 'interesting', 'affair', 'when', 'he', 'was', 'ten', 'and', 'they', 'were', 'ready', 'to', 'move', 'into', 'the', 'New', 'Market', 'Street', 'home', '.', 'Henry', 'Worthington', 'Cowperwood', ""'s"", 'connections', 'were', 'increased', 'as', 'his', 'position', 'grew', 'more', 'responsible', ',', 'and', 'gradually', 'he', 'was']"
2753,United States,37.99066,-81.4265,"['other', 'banking-houses', ',', 'he', 'had', 'come', 'to', 'be', 'familiar', 'with', 'and', 'favorably', 'known', 'in', 'the', 'Bank', 'of', 'the', 'United', 'States', ',', 'the', 'Drexels', ',', 'the', 'Edwards', ',', 'and', 'others', '.', 'The', 'brokers', 'knew', 'him', 'as', 'representing', 'a', 'very', 'sound', 'organization']"
3141,Philadelphia,39.95233,-75.16379,"['deposited', 'as', 'collateral', 'at', 'two-thirds', 'of', 'their', 'face', 'value', 'for', 'a', 'loan', 'of', 'one', 'hundred', 'thousand', 'dollars', '.', 'A', 'Philadelphia', 'magnate', 'had', 'hypothecated', 'them', 'for', 'the', 'use', 'of', 'the', 'ready', 'cash', '.', 'Young', 'Cowperwood', 'looked', 'at', 'them', 'curiously', '.', '``']"
3360,Virginia,-28.10391,26.86593,"['for', 'one', 'thing', ',', 'of', 'a', 'curious', 'character', 'by', 'the', 'name', 'of', 'Steemberger', ',', 'a', 'great', 'beef', 'speculator', 'from', 'Virginia', ',', 'who', 'was', 'attracted', 'to', 'Philadelphia', 'in', 'those', 'days', 'by', 'the', 'hope', 'of', 'large', 'and', 'easy', 'credits', '.', 'Steemberger', ',']"
3366,Philadelphia,39.95233,-75.16379,"['curious', 'character', 'by', 'the', 'name', 'of', 'Steemberger', ',', 'a', 'great', 'beef', 'speculator', 'from', 'Virginia', ',', 'who', 'was', 'attracted', 'to', 'Philadelphia', 'in', 'those', 'days', 'by', 'the', 'hope', 'of', 'large', 'and', 'easy', 'credits', '.', 'Steemberger', ',', 'so', 'his', 'father', 'said', ',', 'was']"
3400,United States Bank,37.99066,-81.4265,"['so', 'his', 'father', 'said', ',', 'was', 'close', 'to', 'Nicholas', 'Biddle', ',', 'Lardner', ',', 'and', 'others', 'of', 'the', 'United', 'States', 'Bank', ',', 'or', 'at', 'least', 'friendly', 'with', 'them', ',', 'and', 'seemed', 'to', 'be', 'able', 'to', 'obtain', 'from', 'that', 'organization', 'nearly', 'all']"
3434,Virginia,-28.10391,26.86593,"['obtain', 'from', 'that', 'organization', 'nearly', 'all', 'that', 'he', 'asked', 'for', '.', 'His', 'operations', 'in', 'the', 'purchase', 'of', 'cattle', 'in', 'Virginia', ',', 'Ohio', ',', 'and', 'other', 'States', 'were', 'vast', ',', 'amounting', ',', 'in', 'fact', ',', 'to', 'an', 'entire', 'monopoly', 'of', 'the']"
3436,Ohio,31.53933,-98.08614,"['that', 'organization', 'nearly', 'all', 'that', 'he', 'asked', 'for', '.', 'His', 'operations', 'in', 'the', 'purchase', 'of', 'cattle', 'in', 'Virginia', ',', 'Ohio', ',', 'and', 'other', 'States', 'were', 'vast', ',', 'amounting', ',', 'in', 'fact', ',', 'to', 'an', 'entire', 'monopoly', 'of', 'the', 'business', 'of']"
3440,States,,,"['that', 'he', 'asked', 'for', '.', 'His', 'operations', 'in', 'the', 'purchase', 'of', 'cattle', 'in', 'Virginia', ',', 'Ohio', ',', 'and', 'other', 'States', 'were', 'vast', ',', 'amounting', ',', 'in', 'fact', ',', 'to', 'an', 'entire', 'monopoly', 'of', 'the', 'business', 'of', 'supplying', 'beef', 'to', 'Eastern']"
3616,United States Bank,37.99066,-81.4265,"['at', 'from', 'ten', 'to', 'twelve', 'per', 'cent', '.', 'under', 'their', 'face', 'value', ',', 'having', 'previously', 'given', 'the', 'United', 'States', 'Bank', 'his', 'own', 'note', 'at', 'four', 'months', 'for', 'the', 'entire', 'amount', '.', 'He', 'would', 'take', 'his', 'pay', 'from', 'the', 'Third', 'National']"
